Pelicula,Tiempo
Sueños de fuga,142
El padrino,175
Spider-Man: A través del spider-verso,140
Batman: El caballero de la noche,152
La lista de Schindler,195
12 hombres en pugna,96
El señor de los anillos: El retorno del rey,201
El padrino II,202
Tiempos violentos,154
El origen,148
El señor de los anillos: La comunidad del anillo,178
El club de la pelea,139
Forrest Gump,142
"Lo bueno, lo malo y lo feo",161
El señor de los anillos: Las dos torres,179
Jai Bhim,164
777 Charlie,164
Rocketry: The Nambi Effect,157
Interestelar,169
Buenos muchachos,145
Matrix,136
Atrapado sin salida,133
El imperio contraataca,124
Soorarai Pottru,153
Rescatando al soldado Ryan,169
Milagros inesperados,189
Terminator 2: El juicio final,137
Se7en. Pecados capitales,127
El silencio de los inocentes,118
La guerra de las galaxias,121
El viaje de Chihiro,125
Ciudad de Dios,130
La vida es bella,116
Los siete samuráis,207
¡Qué bello es vivir!,130
Seppuku,133
Sita Ramam,163
Gladiador,155
Volver al futuro,116
Los infiltrados,151
Parásito,132
El perfecto asesino,110
Whiplash. Música y obsesión,106
Alien - El octavo pasajero,117
El gran truco,130
El rey león,88
Sospechosos comunes,106
American History X,119
El pianista,150
Psicosis,109
Casablanca,102
Amigos,112
Érase una vez en el Oeste,165
Hotaru no haka,89
La ventana indiscreta,112
Cinema Paradiso,155
Tiempos modernos,87
Luces de la ciudad,87
96,158
Spider-Man: Un nuevo universo,117
Los cazadores del arca perdida,115
Django sin cadenas,165
Avengers: Endgame,181
Guasón,122
El resplandor,146
Oldboy,120
Alien 2: El regreso,137
Batman: El caballero de la noche asciende,164
Avengers: Infinity War,149
El ocaso de una vida,110
Apocalypse Now,147
Amnesia,113
Idi i smotri,142
Coco,105
Hamilton,160
Your Name.,106
WALL·E,98
Amadeus,160
Doctor Insólito,95
La vida de los otros,137
Capharnaüm,126
U-96: El submarino infernal,149
3 Idiots,170
La patrulla infernal,88
Witness for the Prosecution,116
Cielo e infierno,143
El gran dictador,125
Kaithi,145
Sardar Udham,164
Asuran,141
Drishyam 2,152
Top Gun: Maverick,130
Fuego contra fuego,170
Bastardos sin gloria,153
Érase una vez en América,229
Réquiem por un sueño,102
Nacido para matar,116
En busca del destino,126
Belleza americana,122
Caracortada,170
